"","borocd","n_reports_311","n_repairs_dot","total_population","road_miles","median_household_income","rental_vacancy_rate","pct_renters","pct_with_college_degree","pct_foreign_born"
"36",312,1196,596,194695,96.4734621635792,6.7808,2.70000004768372,68.1999969482422,32.4000015258789,29.3999996185303
"37",313,607,284,110145,66.2283859093203,4.5489,1.39999997615814,71.1999969482422,39.7000007629395,55.7999992370605
"38",314,845,414,159561,80.0911314595955,8.0062,2.5,76,43.4000015258789,41.0999984741211
"39",315,923,494,156462,138.233742997429,7.4164,3.90000009536743,55.2000007629395,42.2999992370605,48.2999992370605
"40",316,407,193,97145,55.0828715627589,4.2086,1.5,83.5,19.7999992370605,28.7000007629395
"41",317,753,364,157180,90.8167704784324,6.8394,4.5,70.1999969482422,27.6000003814697,47.5
"42",318,1798,696,192709,191.247311720232,8.6729,3.79999995231628,41.4000015258789,34,39.9000015258789
"43",401,2155,1126,179054,155.372807777245,9.064,3.20000004768372,80.8000030517578,50.5,36.5999984741211
"44",402,1806,850,123823,143.497826585848,9.3496,3.79999995231628,75,49.4000015258789,50.2999992370605
"45",403,1331,481,161945,98.0136740800737,7.8398,3.29999995231628,62.2999992370605,25.6000003814697,59
"46",404,1035,558,168616,76.294233902886,6.9434,2.09999990463257,75.0999984741211,24.5,63.2999992370605
"47",405,2075,842,181189,171.091440269448,8.7674,3.09999990463257,59.0999984741211,32.5999984741211,39.2000007629395
"48",406,1057,383,121131,97.6605964465755,9.7258,2.20000004768372,52.2999992370605,57.2999992370605,47.2000007629395
"49",407,2863,1200,246517,295.160774012108,7.1737,3.29999995231628,51.2000007629395,31.6000003814697,57.4000015258789
"50",408,1746,711,154886,203.035758191932,8.598,2.79999995231628,52.7000007629395,45,47.4000015258789
"51",409,1844,733,149365,118.017923604115,8.9047,2.59999990463257,50.4000015258789,30.8999996185303,51.7999992370605
"52",410,1976,911,135400,169.021318236355,9.4552,4,30.3999996185303,24,45.7000007629395
"53",411,2213,958,121282,254.222620710884,10.5206,4.40000009536743,30.3999996185303,47.5,41.9000015258789
"54",412,2676,1040,254693,270.644695066673,7.801,3.5,51.5,23,45.7000007629395
"55",413,3693,1484,205191,360.308375367344,10.751,3.20000004768372,27.1000003814697,34.0999984741211,44.7999992370605
"56",414,1243,396,130562,162.013511435957,6.6899,2.5,62,29.7999992370605,28.7999992370605
"57",501,2350,1044,181349,300.765321768834,8.5767,6.09999990463257,44.5999984741211,32.5,26.5
"58",502,2759,1233,142132,326.980945126987,9.519,4,29.2000007629395,35.0999984741211,31.2000007629395
"59",503,3244,1598,168729,393.392206499011,11.8478,5.19999980926514,20.7000007629395,39.7999992370605,18.6000003814697
