"","borocd","report_month","n_reports_311","n_repairs_dot","total_population","median_age","median_household_income","pct_renters","rental_vacancy_rate","pct_with_college_degree","pct_foreign_born","road_miles"
"705",306,2023-08-31 20:00:00,26,12,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"706",306,2023-09-30 20:00:00,15,9,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"707",306,2023-10-31 20:00:00,19,8,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"708",306,2023-11-30 19:00:00,29,17,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"709",306,2023-12-31 19:00:00,16,8,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"710",306,2024-01-31 19:00:00,39,12,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"711",306,2024-02-29 19:00:00,64,40,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"712",306,2024-03-31 20:00:00,39,23,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"713",306,2024-04-30 20:00:00,41,26,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"714",306,2024-05-31 20:00:00,83,46,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"715",306,2024-06-30 20:00:00,26,19,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"716",306,2024-07-31 20:00:00,28,13,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"717",306,2024-08-31 20:00:00,23,7,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"718",306,2024-09-30 20:00:00,21,9,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"719",306,2024-10-31 20:00:00,32,8,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"720",306,2024-11-30 19:00:00,49,21,121009,37.4000015258789,165947,63.2000007629395,3.5,75.8000030517578,17.7999992370605,82.6448737361604
"721",307,2022-12-31 19:00:00,70,19,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"722",307,2023-01-31 19:00:00,92,44,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"723",307,2023-02-28 19:00:00,90,33,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"724",307,2023-03-31 20:00:00,36,15,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"725",307,2023-04-30 20:00:00,24,14,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"726",307,2023-05-31 20:00:00,43,23,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"727",307,2023-06-30 20:00:00,55,40,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"728",307,2023-07-31 20:00:00,43,21,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"729",307,2023-08-31 20:00:00,23,8,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"730",307,2023-09-30 20:00:00,30,14,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"731",307,2023-10-31 20:00:00,44,28,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"732",307,2023-11-30 19:00:00,51,28,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"733",307,2023-12-31 19:00:00,39,12,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"734",307,2024-01-31 19:00:00,94,23,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"735",307,2024-02-29 19:00:00,82,38,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"736",307,2024-03-31 20:00:00,48,31,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"737",307,2024-04-30 20:00:00,34,12,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"738",307,2024-05-31 20:00:00,53,32,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
"739",307,2024-06-30 20:00:00,35,21,120253,37.5,84767,69.5,2.90000009536743,39.5,39.5999984741211,88.329626489105
